city,country,pub_location,PlaceID,Latitudes,Longitudes
Brisbane,Australia,"Brisbane, Australia",brisbane_australia,-27.469,153.0235
"Rochester, NY",United States,"Rochester, NY, United States",rochester_ny_united_states,43.157285,-77.615214
"Warners Bay, N.S.W.",,"Warners Bay, N.S.W.,",warners_bay_n.s.w.,-32.965102,151.655241
"Aldershot, Hants, England; Burlington, VT",,"Aldershot, Hants, England; Burlington, VT,",aldershot_hants_england;_burlington_vt,N/A,N/A
Saarbrücken,Germany,"Saarbrücken, Germany",saarbrücken_germany,49.234362,6.996379
Il-Blata l-Bajda,Malta,"Il-Blata l-Bajda, Malta",il_blata_l_bajda_malta,41.929221,-88.862314
Place of publication not identified,,"Place of publication not identified,",place_of_publication_not_identified,18.848739,-97.091195
"Warners Bay, N.S.W.",Canada,"Warners Bay, N.S.W., Canada",warners_bay_n.s.w._canada,51.048898,-127.1
"Markham, ON",Canada,"Markham, ON, Canada",markham_on_canada,43.856371,-79.337682
Aylesbury,England,"Aylesbury, England",aylesbury_england,51.816141,-0.813038
"Concord, ON",Canada,"Concord, ON, Canada",concord_on_canada,43.802557,-79.472085
"Salt Lake City, Utah",United States,"Salt Lake City, Utah, United States",salt_lake_city_utah_united_states,40.75962,-111.8868
